7.47,23.37,23.93,-10.28,19.42,18.28,-28.21
7.64,23.64,23.93,-10.98,19.42,18.28,-28.21
7.99,23.9,23.93,-10.98,19.68,18.63,-28.21
8.08,24.43,24.9,-10.98,19.77,18.63,-28.21
8.26,24.78,26.13,-11.42,20.12,18.98,-28.21
8.34,25.83,27.45,-12.04,20.83,19.33,-28.21
8.34,26.63,28.5,-12.39,21.18,19.86,-28.21
8.34,27.24,29.82,-12.83,21.35,20.39,-28.21
8.34,27.77,30.44,-12.91,21.97,20.47,-28.21
8.34,28.38,31.05,-12.91,22.06,20.56,-28.21
8.34,29.09,32.55,-12.91,22.58,20.83,-28.21
8.34,29.79,33.25,-12.91,22.76,20.83,-28.21
8.34,30.32,34.48,-13.18,23.37,21.09,-28.21
8.34,30.58,35.27,-13.35,23.46,21.18,-28.21
8.34,30.76,35.27,-13.44,23.46,21.26,-28.21
8.61,30.93,35.8,-13.62,23.46,21.44,-28.21
8.7,31.46,36.59,-14.06,23.9,21.79,-28.21
8.7,31.46,36.68,-14.32,23.9,21.79,-28.21
8.7,31.46,36.68,-14.41,23.9,21.88,-28.21
8.78,31.46,36.68,-14.58,23.9,21.88,-28.21
8.78,31.46,36.68,-14.58,23.9,21.88,-28.21
8.96,31.64,36.68,-14.58,23.9,21.88,-28.21
8.96,31.64,36.68,-14.58,23.9,21.88,-28.21
8.96,31.64,36.68,-14.58,23.9,21.88,-28.21
8.96,31.64,36.68,-14.58,23.9,21.88,-28.21
8.96,31.64,36.68,-14.58,23.9,21.88,-28.21
8.96,31.64,36.68,-14.58,23.9,21.88,-28.21
8.96,31.64,36.68,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.58,23.9,21.88,-28.21
8.96,31.64,36.77,-14.76,23.9,21.88,-28.21
8.96,31.64,36.77,-14.94,23.9,21.97,-28.21
8.96,31.64,36.77,-14.94,23.9,21.97,-28.21
8.96,31.64,36.77,-14.94,23.9,21.97,-28.21
8.96,31.64,36.77,-14.94,23.9,21.97,-28.21
8.96,31.64,36.77,-14.94,23.9,21.97,-28.21
8.96,31.64,36.77,-14.94,23.9,21.97,-28.21
8.96,31.64,36.77,-14.94,23.9,21.97,-28.21
8.96,31.64,36.77,-15.02,23.9,21.97,-28.21
8.96,31.64,36.77,-15.02,23.9,21.97,-28.21
8.96,31.64,36.77,-15.02,23.9,21.97,-28.21
8.96,31.64,36.77,-15.02,23.9,21.97,-28.21
8.96,31.64,36.77,-15.02,23.9,21.97,-28.21
8.96,31.64,36.77,-15.02,23.9,21.97,-28.21
8.96,31.64,36.77,-15.02,24.08,21.97,-28.21
8.96,31.64,37.12,-15.02,25.22,21.88,-28.21
9.05,31.64,37.21,-15.02,26.8,21.88,-28.21
9.14,31.46,36.94,-15.02,26.98,22.23,-28.21
9.22,31.11,36.77,-15.02,28.03,22.23,-28.21
9.05,30.32,36.41,-14.32,28.91,22.23,-28.21
9.05,29.17,35.1,-13.97,29.0,22.41,-28.21
8.96,27.33,33.34,-13.0,29.0,22.5,-28.21
8.78,25.66,31.67,-12.39,29.0,22.5,-28.21
8.52,24.34,30.26,-12.3,29.0,22.5,-28.21
8.17,22.67,28.07,-11.25,28.56,22.5,-28.21
7.91,20.3,25.96,-10.81,28.21,22.5,-28.21
7.29,17.66,23.58,-9.05,27.33,22.14,-28.21
7.11,15.29,22.0,-8.96,26.89,21.79,-28.21
7.2,11.77,17.78,-8.61,25.83,21.62,-28.21
7.11,7.38,13.83,-8.34,24.87,21.53,-28.21
7.11,3.07,9.61,-8.17,23.9,21.53,-28.21
7.11,-1.14,5.39,-8.08,23.29,21.53,-28.21
6.41,-5.71,1.26,-7.38,23.2,21.44,-28.21
4.74,-9.93,-2.69,-5.88,22.76,21.53,-28.21
-2.28,-29.0,-26.77,-2.9,16.08,18.98,-28.21
-4.65,-31.81,-29.76,1.93,15.9,14.41,-28.21
-7.38,-34.62,-32.75,4.74,15.46,10.89,-28.21
-9.49,-36.91,-35.12,6.24,14.94,8.96,-28.21
-10.81,-38.49,-36.79,7.47,14.41,7.91,-28.21
-11.86,-41.48,-40.13,8.43,13.0,6.06,-28.21
-11.86,-44.12,-43.12,8.43,12.74,5.53,-28.21
-11.86,-47.1,-45.58,8.43,12.83,5.36,-28.21
-11.95,-49.74,-47.51,8.43,13.97,5.18,-28.21
-11.95,-51.15,-48.74,8.34,14.94,4.92,-28.21
-11.95,-51.41,-49.18,8.34,15.11,4.83,-28.21
-11.95,-51.67,-49.18,8.34,15.38,4.83,-28.21
-11.95,-51.67,-49.18,7.91,15.38,4.83,-28.21
-11.95,-51.67,-49.18,7.82,15.38,4.83,-28.21
-11.95,-51.67,-49.18,7.82,15.38,4.83,-28.91
-11.95,-51.67,-49.18,7.82,15.38,4.83,-34.01
-11.95,-51.67,-49.18,7.82,15.38,4.83,-43.5
-11.95,-51.67,-49.18,7.64,15.38,4.83,-53.08
-11.95,-51.67,-49.18,7.64,15.38,4.83,-59.58
-11.95,-51.67,-49.18,7.55,15.38,4.83,-62.66
-11.95,-51.67,-49.18,7.55,15.38,4.83,-62.84
-11.95,-51.67,-49.18,7.11,15.38,4.83,-61.96
-11.95,-51.67,-49.18,5.97,15.38,5.53,-61.25
-11.95,-51.76,-49.18,2.9,15.29,8.43,-60.46
-11.95,-52.03,-49.18,1.93,15.29,9.49,-59.76
-11.95,-54.14,-49.18,2.72,14.94,9.22,-59.5
-11.95,-57.39,-49.18,6.5,15.11,5.62,-59.85
-11.95,-58.71,-48.83,12.65,17.84,0.08,-59.85
-11.95,-56.77,-47.51,19.68,20.03,-6.5,-59.85
-11.95,-54.22,-45.4,24.87,21.53,-11.42,-59.67
-11.95,-50.97,-42.15,25.92,23.55,-12.3,-59.5
-11.95,-48.69,-41.09,25.22,24.16,-11.42,-59.5
-11.95,-48.69,-40.92,24.96,24.25,-11.42,-59.5
-11.95,-48.69,-40.92,24.25,24.25,-10.89,-59.5
-11.95,-48.6,-40.92,23.9,24.25,-10.19,-59.15
-11.95,-48.6,-40.92,23.46,24.25,-9.66,-59.15
-11.95,-48.6,-40.92,23.46,24.25,-9.22,-58.53
-11.95,-48.6,-40.92,23.46,24.25,-9.14,-58.62
-11.95,-48.6,-40.92,23.46,24.25,-9.14,-58.44
-11.95,-48.6,-40.92,23.46,24.25,-9.14,-58.09
-11.95,-48.6,-40.92,23.46,24.25,-9.05,-58.09
-11.95,-48.6,-40.92,23.46,24.25,-9.05,-58.09
-11.95,-48.6,-40.92,23.46,24.25,-9.05,-57.56
-11.95,-48.6,-40.92,23.46,24.16,-9.05,-57.56
-11.95,-48.6,-40.92,23.46,24.16,-9.14,-57.56
-11.95,-48.6,-40.92,23.46,24.16,-9.14,-57.56
-11.95,-48.6,-40.92,23.46,24.16,-9.14,-57.56
-11.95,-48.6,-40.92,23.46,24.16,-9.14,-56.86
