15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.73,-60.82,-48.77,-7.73,34.27,27.24,-75.32
15.11,-61.17,-48.6,-6.5,33.04,26.1,-73.91
10.89,-60.73,-43.24,-1.14,27.77,20.56,-68.64
8.96,-60.2,-33.13,5.09,18.01,13.18,-58.53
8.78,-60.38,-21.26,6.85,10.28,10.01,-44.12
8.43,-60.46,-12.39,4.21,7.38,10.89,-26.8
7.03,-58.35,-6.06,1.05,8.87,14.76,-14.06
5.53,-55.37,-4.3,-1.84,16.25,19.77,-6.76
5.09,-51.06,-5.18,-2.28,25.66,23.99,-2.9
5.09,-47.72,-7.82,-2.46,32.51,25.04,-2.72
5.09,-47.46,-11.33,-2.72,34.62,26.27,-2.72
5.09,-47.72,-15.55,-3.16,32.87,27.94,-2.72
5.8,-47.37,-20.47,-3.42,31.72,28.91,-2.72
8.17,-45.08,-24.69,-4.74,32.95,30.49,-2.81
9.49,-43.06,-28.82,-5.62,34.1,30.49,-2.72
10.1,-42.8,-32.43,-6.15,31.99,30.49,-2.81
10.28,-42.45,-34.89,-6.59,31.37,31.02,-2.46
